policy;seed;type;instance;nnodes;nlps;stime;gap;status;ndomchgs;ncutoffs;walltime;proctime;objval;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_75.lp;499;755;20.97;0.0;optimal;172;0;21.25391290895641;21.252727092999976;198.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_76.lp;114;329;16.08;0.0;optimal;116;1;16.28900876827538;16.287533601000177;189.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_77.lp;1379;1930;41.49;0.0;optimal;321;0;42.118626372888684;42.11520061500005;174.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_78.lp;3314;4007;64.23;0.0;optimal;410;0;65.25716068595648;65.25123104299973;214.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_79.lp;2029;2573;46.2;0.0;optimal;282;0;46.954978400841355;46.95309416000009;191.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_80.lp;35940;41947;540.79;0.0;optimal;736;0;549.6925475262105;549.6714013310002;226.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_81.lp;89;253;16.69;0.0;optimal;97;2;16.949695175513625;16.949280942999394;182.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_82.lp;2529;3026;57.09;0.0;optimal;230;1;58.017211351543665;58.01628675699976;214.00000000000003;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_83.lp;1462;2058;40.79;0.0;optimal;310;0;41.419581577181816;41.41695690199958;222.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_84.lp;231;535;25.55;0.0;optimal;205;0;25.875951666384935;25.874938775000373;202.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_85.lp;229;439;22.62;0.0;optimal;153;0;22.973284309729934;22.972526871999435;221.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_86.lp;15099;17125;202.79;0.0;optimal;595;0;206.49971162714064;206.47571518200039;197.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_87.lp;2731;3606;63.11;0.0;optimal;207;1;64.23353279940784;64.23191017799945;183.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_88.lp;21070;23768;368.89;0.0;optimal;547;0;374.90135113336146;374.8635741420003;201.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_89.lp;5553;6659;112.88;0.0;optimal;344;0;114.90687883459032;114.90454554299959;228.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_90.lp;605;902;26.28;0.0;optimal;243;0;26.759925162419677;26.75986199199997;198.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_91.lp;4401;5231;89.89;0.0;optimal;415;0;91.21037881076336;91.2101676480006;231.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_92.lp;333;566;23.01;0.0;optimal;165;0;23.358457764610648;23.357451357000173;173.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_93.lp;1617;2083;44.95;0.0;optimal;321;0;45.63158254697919;45.63159312100015;209.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_94.lp;945;1282;34.74;0.0;optimal;236;0;35.292410761117935;35.28764261000015;199.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_95.lp;305;625;28.26;0.0;optimal;216;0;28.69260432012379;28.69234675000007;211.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_96.lp;2099;2576;50.48;0.0;optimal;309;0;51.29121216572821;51.290745356000116;235.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_97.lp;7851;9294;137.27;0.0;optimal;589;0;139.6724851243198;139.6685555919994;210.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_98.lp;22651;25685;339.61;0.0;optimal;967;0;345.4113490972668;345.40213253;225.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_99.lp;215;462;21.12;0.0;optimal;176;0;21.50480472110212;21.504654177999328;210.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_100.lp;1;40;2.34;0.0;optimal;1;1;2.3583110459148884;2.358282711999891;174.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_101.lp;1686;2169;48.92;0.0;optimal;273;0;49.81127340719104;49.810936390999814;227.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_102.lp;149;327;16.0;0.0;optimal;113;0;16.23780065961182;16.237727631999405;176.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_103.lp;227;415;20.69;0.0;optimal;128;1;20.989713679999113;20.989656043999275;207.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_104.lp;112;264;13.51;0.0;optimal;96;0;13.692298378795385;13.691759139000169;182.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_105.lp;961;1286;30.04;0.0;optimal;213;0;30.58814663812518;30.587939937000556;200.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_106.lp;107;321;20.9;0.0;optimal;133;0;21.174158880487084;21.174002959000063;187.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_107.lp;3;52;4.3;0.0;optimal;8;0;4.3536287676543;4.353562854000302;160.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_108.lp;427;710;27.4;0.0;optimal;199;0;27.771764202043414;27.758716426999854;211.0;
