policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_66.lp,1,48,0.46,0.0,optimal,1,1,0.4724140763282776,0.4724085319999993,36.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_67.lp,1,1,0.01,0.0,optimal,0,0,0.015144290402531624,0.015147035000000031,13.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_68.lp,1,37,0.4,0.0,optimal,0,0,0.4079541824758053,0.40795725499999946,26.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_69.lp,3,48,0.43,0.0,optimal,3,0,0.4498503338545561,0.44984192100000087,32.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_70.lp,1,3,0.04,0.0,optimal,0,0,0.038168301805853844,0.03817151300000177,21.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_71.lp,1,2,0.03,0.0,optimal,0,0,0.035237573087215424,0.03524049099999971,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_72.lp,1,4,0.06,0.0,optimal,0,0,0.06240459159016609,0.062407667000000444,21.99999999999997
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_73.lp,1,35,0.34,0.0,optimal,0,1,0.3473653122782707,0.34736738600000017,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_74.lp,1,3,0.06,0.0,optimal,0,0,0.06027757376432419,0.06028062300000059,34.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_75.lp,1,4,0.06,0.0,optimal,0,0,0.06158895045518875,0.06159294299999907,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_76.lp,1,2,0.04,0.0,optimal,0,0,0.035791149362921715,0.035783729000000264,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_77.lp,1,4,0.05,0.0,optimal,0,0,0.054583555087447166,0.054585618000000835,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_78.lp,1,1,0.01,0.0,optimal,0,0,0.01468811184167862,0.014690914999999194,20.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_79.lp,1,1,0.01,0.0,optimal,0,0,0.01524306833744049,0.015245487999999696,42.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_80.lp,1,2,0.03,0.0,optimal,0,0,0.03330651670694351,0.033308098000000896,32.000000000000014
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_81.lp,1,3,0.05,0.0,optimal,0,0,0.05644532851874828,0.05644768099999986,25.0
